127.0.0.1 - - [30/Nov/2016:10:38:44 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:38:44 +0900] "GET /jsphomepage/homepage/index.jsp HTTP/1.1" 200 3646
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:38:45 +0900] "GET /jsphomepage/homepage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:38:50 +0900] "POST /jsphomepage/homepage/loginProc.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:38:52 +0900] "GET /jsphomepage/homepage/index.jsp HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:38:52 +0900] "GET /jsphomepage/homepage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:38:58 +0900] "GET /jsphomepage/homepage/modifyMember.jsp?id=aaa HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:01 +0900] "POST /jsphomepage/homepage/modifyMemberProc.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:02 +0900] "GET /jsphomepage/homepage/index.jsp HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:02 +0900] "GET /jsphomepage/homepage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:04 +0900] "GET /jsphomepage/homepage/modifyMember.jsp?id=aaa HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:12 +0900] "POST /jsphomepage/homepage/modifyMemberProc.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:13 +0900] "GET /jsphomepage/homepage/index.jsp HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:13 +0900] "GET /jsphomepage/homepage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2016:10:39:25 +0900] "GET /jsphomepage/homepage/modifyMember.jsp?id=aaa HTTP/1.1" 200 3105
